Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/25/2023,friday,3:30:00 PM,MT,174,274,PONTES E LACERDA,Electrical or mechanical flaws,Run-off-road,With injured victims,Day,Increasing,Clear sky,Simple,Curve,2,0,1,1,0,0,2,1,-15.33072,-59.22008,SPRF-MT,DEL04-MT
08/25/2023,friday,5:20:00 PM,RN,406,171,SAO GONCALO DO AMARANTE,Alcohol ingestion by the driver,Run-off-road,Without victims,Day,Increasing,Clear sky,Double,Not Reported,2,0,0,0,2,0,0,1,-5.761489,-35.28978,SPRF-RN,DEL02-RN
06/18/2023,sunday,8:30:00 PM,PE,428,86,SANTA MARIA DA BOA VISTA,Acessing the road without seeing the presence of other vehicles,Broadside collision,With injured victims,Night,Increasing,Clear sky,Simple,Straight,1,0,0,1,0,0,1,1,-8.7915,-39.84822,SPRF-PE,DEL06-PE
08/25/2023,friday,2:30:00 PM,GO,60,299,ACREUNA,Accumulation of water on the road,Run-off-road,With injured victims,Day,Increasing,Rainy,Double,Curve,3,0,0,1,2,0,1,1,-17.3572,-50.3304,SPRF-GO,DEL04-GO
08/25/2023,friday,6:20:00 PM,SC,101,204,SAO JOSE,Driver's lack of reaction,Rear-end collision,With injured victims,Night,Decreasing,Rainy,Double,Straight,4,0,1,0,3,0,1,3,-27.57413,-48.61363,SPRF-SC,DEL01-SC
08/25/2023,friday,6:55:00 PM,PR,277,"1,4",FOZ DO IGUACU,Disrespecting the intersection,Broadside collision,With injured victims,Night,Increasing,Clear sky,Double,Intersection,2,0,2,0,0,0,2,2,-25.49475,-54.58336,SPRF-PR,DEL05-PR
08/25/2023,friday,7:15:00 PM,DF,70,"6,9",BRASILIA,driving on the breakdown lane,Broadside collision,With injured victims,Night,Increasing,Cloudy,Double,Not Reported,6,0,4,0,2,0,4,2,-15.79124,-48.10576,SPRF-DF,DEL01-DF
08/25/2023,friday,7:30:00 PM,MG,381,481,CONTAGEM,Driver's lack of reaction,Rear-end collision,With injured victims,Night,Increasing,Clear sky,Multiple,Straight,4,0,1,0,2,1,1,3,-19.95932,-44.08826,SPRF-MG,DEL01-MG
08/25/2023,friday,11:15:00 AM,RS,153,"44,4",ERECHIM,Acessing the road without seeing the presence of other vehicles,Broadside collision,With injured victims,Day,Increasing,Clear sky,Simple,Not Reported,2,0,0,1,1,0,1,2,-27.62313,-52.23688,SPRF-RS,DEL08-RS
08/25/2023,friday,6:50:00 PM,MG,116,"525,9",CARATINGA,Disrespecting the intersection,Broadside collision,With injured victims,Night,Decreasing,Clear sky,Double,Not Reported,2,0,1,0,1,0,1,2,-19.77945,-42.13293,SPRF-MG,DEL06-MG
08/25/2023,friday,7:55:00 PM,SE,101,"116,5",ITAPORANGA DAJUDA,Sinking or ondulation in the pavement,Overturn,With injured victims,Night,Decreasing,Clear sky,Double,Straight,1,0,1,0,0,0,1,1,-11.01601,-37.31956,SPRF-SE,DEL02-SE
08/25/2023,friday,8:10:00 PM,MG,50,177,UBERABA,Driver's lack of reaction,Rear-end collision,With injured victims,Night,Decreasing,Clear sky,Double,Not Reported,1,0,1,0,0,0,1,1,-19.77915,-47.95048,SPRF-MG,DEL13-MG
08/25/2023,friday,6:00:00 PM,PR,116,"0,4",CAMPINA GRANDE DO SUL,Accumulation of water on the road,Collision with object,Without victims,Sunset,Increasing,Rainy,Double,Curve,1,0,0,0,1,0,0,1,-25.0604,-48.56297,SPRF-PR,DEL01-PR
08/25/2023,friday,7:20:00 PM,PR,369,"140,5",LONDRINA,Driver changed the lane illegally,Broadside collision,With injured victims,Night,Decreasing,Cloudy,Simple,Straight,2,0,1,1,0,0,2,2,-23.28305,-51.0714,SPRF-PR,DEL07-PR
08/25/2023,friday,6:45:00 PM,RJ,101,"417,8",MANGARATIBA,Alcohol ingestion by the driver,Side collision (opposite direction),With injured victims,Night,Increasing,Rainy,Simple,Not Reported,4,0,3,0,1,0,3,3,-22.91783,-43.90472,SPRF-RJ,DEL03-RJ
08/25/2023,friday,7:10:00 PM,MS,163,"70,6",ITAQUIRAI,No breakdown lanes,Rear-end collision,With injured victims,Night,Increasing,Cloudy,Simple,Straight,2,0,0,1,0,1,1,2,-23.5456,-54.19367,SPRF-MS,DEL09-MS
08/25/2023,friday,8:55:00 PM,PB,230,17,JOAO PESSOA,Pedestrian was crossing the road outside of the crosswalk,Pedestrian collision,With injured victims,Night,Increasing,Clear sky,Double,Straight,3,0,0,1,1,1,1,1,-7.1121,-34.8426,SPRF-PB,DEL01-PB
08/25/2023,friday,6:50:00 PM,GO,153,176,CAMPINORTE,Prohibited conversion,Head-on collision,With injured victims,Night,Increasing,Clear sky,Simple,Straight,7,0,1,0,6,0,1,2,-14.31039,-49.14897,SPRF-GO,DEL07-GO
08/25/2023,friday,7:30:00 PM,MG,262,446,NOVA SERRANA,Acessing the road without seeing the presence of other vehicles,Pedestrian collision,With injured victims,Night,Increasing,Clear sky,Simple,Straight,2,0,0,2,0,0,2,1,-19.87515,-44.95031,SPRF-MG,DEL08-MG
08/25/2023,friday,6:30:00 PM,RJ,101,274,TANGUA,Acessing the road without seeing the presence of other vehicles,Head-on collision,Without victims,Night,Decreasing,Drizzle,Simple,Straight,4,0,0,0,3,1,0,2,-22.73506,-42.71948,SPRF-RJ,DEL02-RJ
08/25/2023,friday,10:24:00 PM,GO,153,513,APARECIDA DE GOIANIA,Stopping at a prohibited place,Rear-end collision,With injured victims,Night,Increasing,Clear sky,Double,Straight,4,0,0,1,3,0,1,2,-16.8244,-49.2421,SPRF-GO,DEL01-GO
08/25/2023,friday,8:10:00 PM,BA,116,233,EUCLIDES DA CUNHA,Acessing the road without seeing the presence of other vehicles,Pedestrian collision,With dead victims,Night,Decreasing,Clear sky,Simple,Straight,2,1,0,0,0,1,0,1,-10.61307,-38.96861,SPRF-BA,DEL07-BA
